ID,ORF
1009703_1,Rv3847
1009705_1,Rv3849
1009707_1,Rv3851
1009721_1,Rv3865
1009723_1,Rv3867
1009725_1,Rv3869
1009727_1,Rv3871
1009729_1,Rv3873
1009731_1,Rv3875
1009745_1,Rv3889c
1009747_1,Rv3891c
1009749_1,Rv3893c
1009751_1,Rv3895c
1009753_1,Rv3897c
1009755_1,Rv3899c
1009769_1,Rv3913
1009771_1,Rv3915
1009773_1,Rv3917c
1009775_1,Rv3919c
1009777_1,Rv3921c
1009779_1,Rv3923c
1005761_2,
1005763_2,
1005765_2,
1005767_2,
1005769_2,
1005771_2,
1005785_2,
1005787_2,
1005789_2,
1005791_2,
1005793_2,
1005795_2,
1005809_2,
1005811_2,
1005813_2,
1005815_2,
1005817_2,
1005819_2,
1005833_2,
1005835_2,
1005837_2,
1005839_2,
1005841_2,
1005843_2,
1005953_1,Rv0097
1005955_1,Rv0099
1005957_1,Rv0101
1005959_1,Rv0103c
1005961_1,Rv0105c
1005963_1,Rv0107c
1005977_1,Rv0121c
1005979_1,Rv0123
1005981_1,Rv0125
1005983_1,Rv0127
1005985_1,Rv0129c
1005987_1,Rv0131c
1006001_1,Rv0145
1006003_1,Rv0147
1006005_1,Rv0149
1006007_1,Rv0151c
1006009_1,Rv0153c
1006011_1,Rv0155
1006025_1,Rv0169
1006027_1,Rv0171
1006029_1,Rv0173
1006031_1,Rv0175
1006033_1,Rv0177
1006035_1,Rv0179c
1006337_1,Rv0481c
1006339_1,Rv0483
1006341_1,Rv0485
1006343_1,Rv0487
1006345_1,Rv0489
1006347_1,Rv0491
1006361_1,Rv0505c
1006363_1,Rv0507
1006365_1,Rv0509
1006367_1,Rv0511
1006369_1,Rv0513
1006371_1,Rv0515
1006385_1,Rv0529
1006387_1,Rv0531
1006389_1,Rv0533c
1006391_1,Rv0535
1006393_1,Rv0537c
1006395_1,Rv0539
1006409_1,Rv0553
1006411_1,Rv0555
1006413_1,Rv0557
1006415_1,Rv0559c
1006417_1,Rv0561c
1006419_1,Rv0563
1006721_1,Rv0865
1006723_1,Rv0867c
1006725_1,Rv0869c
1006727_1,Rv0871
1006729_1,Rv0873
1006731_1,Rv0875c
1006745_1,Rv0889c
1006747_1,Rv0891c
1006749_1,Rv0893c
1006751_1,Rv0895
1006753_1,Rv0897c
1006755_1,Rv0899
1006769_1,Rv0913c
1006771_1,Rv0915c
1006773_1,Rv0917
1006775_1,Rv0919
1006777_1,Rv0921
1006779_1,Rv0923c
1006793_1,Rv0937c
1006795_1,Rv0939
1006797_1,Rv0941c
1006799_1,Rv0943c
1006801_1,Rv0945
1006803_1,Rv0947c
1007105_1,Rv1249c
1007107_1,Rv1251c
1007109_1,Rv1253
1007111_1,Rv1255c
1007113_1,Rv1257c
1007115_1,Rv1259
1007129_1,Rv1273c
1007131_1,Rv1275
1007133_1,Rv1277
1007135_1,Rv1279
1007137_1,Rv1281c
1007139_1,Rv1283c
1007153_1,Rv1297
1007155_1,Rv1299
1007157_1,Rv1301
1007159_1,Rv1303
1007161_1,Rv1305
1007163_1,Rv1307
1007177_1,Rv1321
1007179_1,Rv1323
1007181_1,Rv1325c
1007183_1,Rv1327c
1007185_1,Rv1329c
1007187_1,Rv1331
1007489_1,Rv1633
1007491_1,Rv1635c
1007493_1,Rv1637c
1007495_1,Rv1639c
1007497_1,Rv1641
1007499_1,Rv1643
1007513_1,Rv1657
1007515_1,Rv1659
1007517_1,Rv1661
